,나이,성별,건성,지성,모름,건조함,과잉피지,여드름,좁쌀,홍조&예민,복합성,기미&잡티,미백앰플,수분라이트,수분앰플,쑥앰플,진정앰플
327,3.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
328,5.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
329,3.0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
330,8.0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
331,5.0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
332,3.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
333,4.0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1
334,6.0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1
335,6.0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
336,5.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
337,8.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
338,8.0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1
339,4.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
340,5.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
341,6.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
342,2.0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0
343,4.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
344,4.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
345,6.0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
346,3.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
347,2.0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
348,2.0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
349,4.0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1
350,5.0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1
351,0.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
